status,official_source,official_source_id,gaia_source_id,hip_source_id,proper_name,simbad_main_id,current_distance_source,reason_for_external_search,next_action,resolved_distance_pc,resolved_distance_error_pc,resolved_reference,resolution_notes
resolved,hip,52474,5239659925608199552,52474,,HD  93147,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,527.905,25.0483,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 510.86–552.95 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=3.01. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
provisional,hip,60362,3468228736251652992,60362,,HD 107691,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,279.52,1.93,"Gaia Collaboration 2023, A&A 674 A1 (Gaia DR3 I/355; source 3468228736250736512)","The 3.83-arcsec WDS component has matching proper motion, clean parallax 3.5776±0.0247 mas, and RUWE=1.44. The bright primary has RUWE=17.7; use the physical companion distance provisionally."
resolved,hip,2656,430763165145655296,2656,,HD   2973,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,1273.78,295.98,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 977.80–1397.89 pc; fidelity=0.946; SH_OUTFLAG=0000; Gaia RUWE=3.41. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
provisional,hip,104589,2177339344373810560,104589,,HD 202031,HIP_EDSD,prior_authority_review_unresolved;hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,933.51,24.87,"Gaia Collaboration 2023, A&A 674 A1 (Gaia DR3 I/355; source 2177339344367608576)",The 1.04-arcsec WDS component has parallax 1.0712±0.0285 mas and RUWE=1.17; the primary gives a compatible 1.1489±0.0411 mas but RUWE=1.52. Use the clean physical component provisionally.
resolved,hip,33230,3358198820956034432,33230,,HD  50664,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,722.873,49.0254,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 687.32–771.90 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=1.83. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,hip,13423,116488657053906816,13423,,HD  17851,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,547.304,24.7164,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 531.10–572.02 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=1.42. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
provisional,hip,104862,1965037560440294016,104862,,HD 202420,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,695.625,29.887,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 665.74–719.01 pc; fidelity=1.000; SH_OUTFLAG=0010; Gaia RUWE=1.72. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
resolved,hip,33183,2933166314729314176,33183,,HD  50913,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,475.936,16.8002,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 459.14–485.26 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=2.39. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,hip,66985,3740506847951026944,66985,,BD+14  2655,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,499.709,28.0867,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 471.62–512.38 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=3.74. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
provisional,hip,111220,2201706514904655232,111220,,HD 239989,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,853.424,41.6295,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 840.18–895.05 pc; fidelity=1.000; SH_OUTFLAG=0010; Gaia RUWE=2.37. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
resolved,hip,111848,2008383302396655488,111848,,HD 240016,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,2142.75,53.8182,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 2088.93–2172.57 pc; fidelity=0.997; SH_OUTFLAG=0000; Gaia RUWE=3.04. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,hip,90733,2159560035181684352,90733,,BD+61  1752,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,614.945,50.9143,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 588.97–665.86 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=4.80. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,gaia,5969673420936964864,5969673420936964864,,,HD 152623,PHOTOGEO_WEAK,prior_authority_review_likely_bad,review_and_promote_to_versioned_override,1630,150,"van der Meij et al. 2021, A&A 655 A31 (2021A&A...655A..31V)","HD 152623 is NGC 6231 member 334. Modern Gaia work gives 1.63±0.15 kpc for NGC 6231, agreeing with the long-standing 1.59–1.64 kpc cluster distance; the star’s own RUWE=17.95 is unusable."
resolved,hip,100957,4244692852673296384,100957,,HIP 100957,HIP_EDSD,hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,769.802,44.9526,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 732.75–814.75 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=1.87. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
provisional,hip,109105,1961680446499080064,109105,,BD+42  4299,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,993.697,372.991,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 620.71–1237.99 pc; fidelity=0.107; SH_OUTFLAG=0010; Gaia RUWE=19.82. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
provisional,hip,111126,1987860638689066368,111126,,BD+48  3750,PRIOR,gaia_distance_is_fixed_magnitude_prior,seek_better_object_specific_measurement_before_promotion,494.776,100,"Stassun et al. 2019, AJ 158 138 (TIC v8; TIC 249695076)","TIC v8 gives 494.776 pc for the A0 visual binary. Gaia has only a two-parameter source and Hipparcos parallax is 0.06±1.44 mas; TIC supplies no uncertainty, so 100 pc is assigned conservatively."
provisional,hip,56167,5335984943904659328,56167,,HD 100135,PRIOR,gaia_distance_is_fixed_magnitude_prior,seek_better_object_specific_measurement_before_promotion,1030.93,797.109,"Stassun et al. 2019, AJ 158 138 (TIC v8; TIC 318096228)",TIC v8 gives 1030.9±797.1 pc for the B5/7 III visual double. Gaia has no five-parameter solution and Hipparcos is low-S/N; this is weak but preferable to the fixed-magnitude prior.
provisional,hip,35904,5605797194566011520,35904,,* eta CMa,PRIOR,gaia_distance_is_fixed_magnitude_prior,seek_better_object_specific_measurement_before_promotion,803,55,"Fleming et al. 2023, MNRAS 523 5306 (2023MNRAS.523.5306F)","Modern Gaia DR3 clustering finds the Cr 121/CMa OB2 association at 803±55 pc. η CMa is a historical Cr 121 designation but was rejected by one Hipparcos-era census, so association membership and this distance remain provisional."
provisional,hip,47579,794709687248802048,47579,,BD+34  2017,PRIOR,prior_authority_review_likely_bad;gaia_distance_is_fixed_magnitude_prior,seek_better_object_specific_measurement_before_promotion,190.156,40,"Stassun et al. 2019, AJ 158 138 (TIC v8; TIC 289714543)","TIC v8 spectrophotometric distance for the F5 visual double. Gaia has only a two-parameter source and Hipparcos is unusable; TIC supplies no formal error, so 40 pc is assigned conservatively."
resolved,hip,5165,4933453324590295040,5165,,* bet Phe,PRIOR,prior_authority_review_likely_bad;gaia_distance_is_fixed_magnitude_prior,review_and_promote_to_versioned_override,55.77,1.65,"Argyle et al. 2015, Astron. Nachr. 336 378 (doi:10.1002/asna.201412166)",Visual-orbit reanalysis that accounts for the nearly equal G8 III components gives parallax 17.93±0.53 mas. This replaces the catastrophically bad single-source Hipparcos solution.
provisional,hip,27033,3222898280159162112,27033,,HD 288218,PRIOR,prior_authority_review_unresolved;gaia_distance_is_fixed_magnitude_prior,seek_better_object_specific_measurement_before_promotion,421.517,80,"Stassun et al. 2019, AJ 158 138 (TIC v8; TIC 199966021)","TIC v8 distance for the A2 star. Gaia has only a two-parameter source and Hipparcos is unusable; TIC supplies no formal error, so 80 pc is assigned conservatively."
